TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Possession,Adult,2012,2012/07/16 03:30:00+00,"b',\xdcX4\xef\x8e\x97'",50,6D,605,404600,132900,601,6D,B ,U ,F,Narcotics,Ucsa Poss Marijuana,4000 BLOCK OF PENNSYLVANIA AV SE,404600,132900,MARIJUANA_ARRESTS_2157,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14637,{4511FCBA-F5DE-4EE0-96D0-E18F9741A145}
Possession,Adult,2012,2012/07/16 16:30:00+00,b'*\xea\xa3X\x80m\x1b',23,4D,405,400600,140900,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,PERRY ST NE,401700,140900,MARIJUANA_ARRESTS_2158,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14638,{E03D7A95-22BD-488E-A319-8B35DFB91AD1}
Distribution,Adult,2012,2012/07/16 22:50:00+00,b'x\n?\x16q\r\x88',20,1D,105,398500,134100,308,3D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,400 BLOCK OF N ST NW,398500,134100,MARIJUANA_ARRESTS_2159,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14639,{C509A485-7202-4E19-A13E-845123630CA2}
Possession,Adult,2012,2012/07/16 22:56:00+00,"b'\xe5\xfd""\xf74\x10\xee'",24,1D,102,398200,136700,Out of State,Out of State,B ,U ,F,Narcotics,Ucsa Poss Marijuana,600 BLOCK OF F ST NW,398200,136700,MARIJUANA_ARRESTS_2160,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14640,{EC503DE3-A065-4544-9C0C-9285B417DA40}
Possession with intent to distribute,Adult,2012,2012/07/17 01:12:00+00,b'\xac\x8dMG\x13\xa9\xbc',19,6D,608,406800,136400,507,5D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,500 BLOCK OF 55TH ST NE,406800,136400,MARIJUANA_ARRESTS_2161,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14641,{F7EA2810-56FA-4779-9A52-8C6FF753FE8A}
Possession,Adult,2012,2012/07/17 06:02:00+00,"b'\xb1\x05\xee\xe5""\x15S'",21,4D,409,397400,140800,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,13TH ST NW,397200,141300,MARIJUANA_ARRESTS_2162,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14642,{CDEB4905-7153-4E3E-9DA0-BDC77AA53CE6}
Possession,Adult,2012,2012/07/17 14:45:00+00,b'\x9e\xdf\xb3.\xa8\x0f\x04',28,5D,502,400200,139600,702,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,600 BLOCK OF EDGEWOOD ST NE,400200,139600,MARIJUANA_ARRESTS_2163,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14643,{49EE0FA6-C13B-46F4-AF6E-0298E6E5C64A}
Possession,Adult,2012,2012/07/17 21:39:00+00,b'\xa3\x92\xe7]\x1e\xd9\xc7',19,4D,403,398300,142900,,,B ,N ,F,Narcotics,Ucsa Poss Marijuana,5200 BLOCK OF 5TH ST NW,398300,142800,MARIJUANA_ARRESTS_2164,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14644,{663C9E3F-213D-4B20-AD1B-92744B878EED}
Possession with intent to distribute,Adult,2012,2012/07/17 21:50:00+00,b'J\xc1\x90]q\x96\x85',35,5D,506,401400,137200,504,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,HOLBROOK ST NE / NEAL ST NE,401400,137200,MARIJUANA_ARRESTS_2165,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14645,{6A2E9799-6F8A-4795-B258-0CDAD64BE8B0}
Possession with intent to distribute,Adult,2012,2012/07/17 23:30:00+00,b'\x92\xa8\x80\x98`\x08\xd1',19,4D,403,397800,142800,407,4D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,HAMILTON ST NW,397800,142800,MARIJUANA_ARRESTS_2166,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14646,{924EA6D8-FF97-4A4D-BB20-81E48710F08D}
Possession,Adult,2012,2012/07/17 23:50:00+00,b'0\x10\xfb\x91\xc0M(',20,7D,708,399900,128200,708,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,SOUTH CAPITOL ST SW,399400,128500,MARIJUANA_ARRESTS_2167,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14647,{A0CB425B-4BC2-4334-822E-A3E9AAB4D5EC}
Possession,Adult,2012,2012/07/17 23:50:00+00,b'0\x10\xfb\x91\xc0M(',21,7D,708,399900,128200,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,SOUTH CAPITOL ST SW,399400,128500,MARIJUANA_ARRESTS_2168,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14648,{FC1D672E-6113-4D32-80F1-10965DC6CB9F}
Possession,Adult,2012,2012/07/18 07:51:00+00,b'5\xc0\x84}\x0f\x85\x8a',26,6D,603,404100,136000,108,1D,B ,N ,F,Narcotics,Ucsa Poss Marijuana,100 BLOCK OF 36TH ST NE,404100,136100,MARIJUANA_ARRESTS_2169,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14649,{8A58DF5E-8855-4261-BBE9-60D1F886100E}
Possession with intent to distribute,Adult,2012,2012/07/18 13:04:00+00,b'\xa5\xe2(\x11O\xec\xb8',29,7D,704,402300,131500,706,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2000 BLOCK OF SAVANNAH PL SE,402200,131300,MARIJUANA_ARRESTS_2170,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14650,{847A771E-1875-4A55-A8B3-62EBDFD955D4}
Possession,Adult,2012,2012/07/18 20:43:00+00,b'\xd9\xf3<Qx\x08\x07',20,6D,604,405900,134800,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4900 BLOCK OF G ST SE,405900,134800,MARIJUANA_ARRESTS_2171,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14651,{A134240F-39F6-49BB-B233-97B5B27428C8}
Possession,Adult,2012,2012/07/18 23:57:00+00,b'\x96(\xa3\xe9\xe0\xa6\x18',28,3D,303,396600,139500,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2500 BLOCK OF 17TH ST NW,396600,139500,MARIJUANA_ARRESTS_2172,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14652,{211434D3-6E1D-402E-BFB7-71957DEEFFFA}
Possession,Adult,2012,2012/07/19 00:15:00+00,b'\xbe\x9f\xb8\xe8Z\xd0\xc0',26,7D,703,400300,132800,,,U,H ,M,Narcotics,Ucsa Possession Marijuana,HOWARD RD SE,400500,132600,MARIJUANA_ARRESTS_2173,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14653,{2A2ADF4E-A32A-4728-8074-087251848577}
Possession,Adult,2012,2012/07/19 02:37:00+00,b'~\x12QT\x12\xfb\xe0',24,4D,409,397000,140800,409,4D,U,H ,M,Narcotics,Ucsa Possession Marijuana,1500 BLOCK OF OGDEN ST NW,397000,140900,MARIJUANA_ARRESTS_2174,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14654,{BA2F1F7B-2AA6-4AF2-AF23-73F3D6C5DDE4}
Possession,Adult,2012,2012/07/19 04:47:00+00,b'6\xc5j7Z\x87`',30,7D,704,402900,131200,101,1D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2700 BLOCK OF SOUTHERN AVE SE,,,MARIJUANA_ARRESTS_2175,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14655,{8F835E8B-44B9-49F6-8204-A2FEDD2A3033}
Possession,Adult,2012,2012/07/19 19:25:00+00,b'\xa6\x07\xdc1D\xa9\xb5',26,3D,302,,,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3200 BLOCK OF HIATT PL,,,MARIJUANA_ARRESTS_2176,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14656,{AE81578A-34C2-4A8F-AFF3-0431F706524F}
Possession,Adult,2012,2012/07/19 22:40:00+00,b'\xe3\x1e-\xa7\xf2\xecd',19,6D,603,405000,135000,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,400 BLOCK OF BURBANK STSE,405000,135000,MARIJUANA_ARRESTS_2177,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14657,{58C4018E-36AB-48EE-89C3-70FAB5970A07}
Distribution,Adult,2012,2012/07/19 22:56:00+00,"b'\xfb\x0b\x92,t[\x12'",27,4D,402,397600,144100,402,4D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,6200 BLOCK OF GEORGIA AVE NW,397700,144100,MARIJUANA_ARRESTS_2178,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14658,{BEBDE569-7794-41FF-8166-0DC771996D66}
Possession with intent to distribute,Adult,2012,2012/07/20 00:20:00+00,b'\\\x86\x8c|\x9f\xd3b',23,6D,603,405000,136100,,,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,EAST CAPITOL ST SE,407100,135800,MARIJUANA_ARRESTS_2179,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14659,{C9F57C16-945C-4DE3-85BF-0EA28BCE540E}
Possession,Adult,2012,2012/07/20 02:14:00+00,b'\x08\x17\x8a#\x0f\x9dC',27,5D,507,401900,136900,507,5D,W ,N ,M,Narcotics,Ucsa Poss Marijuana,1700 BLOCK OF BENNING RD NE,401900,136900,MARIJUANA_ARRESTS_2180,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14660,{9BD7E153-4E6E-4882-8E03-0FB4AB88EA41}
Possession,Adult,2012,2012/07/20 03:34:00+00,b'\xba\x1b2\xfbK4\xe5',24,2D,208,396100,138000,703,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2000 BLOCK OF P ST NW,396100,138000,MARIJUANA_ARRESTS_2181,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14661,{23AEF6CE-D81C-4067-8FBF-627B7FC1EDFF}
Possession,Adult,2012,2012/07/20 13:45:00+00,b'\x1f\xcb\xe8\xa3\xc2#S',22,7D,708,399100,128100,708,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4700 BLOCK OF MLK JR AVE SW,399100,128100,MARIJUANA_ARRESTS_2182,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14662,{960CF202-2FFE-4181-84FE-28374CA96A34}
Possession with intent to distribute,Adult,2012,2012/07/20 20:30:00+00,b'\xaf(\x0e\x93\x94\xaf\x06',22,6D,605,405200,134700,608,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,ALABAMA AVE SE,400900,130700,MARIJUANA_ARRESTS_2183,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14663,{870165AB-DABD-4362-8751-436437397237}
Distribution,Adult,2012,2012/07/20 20:30:00+00,b'\xaf(\x0e\x93\x94\xaf\x06',22,6D,605,405200,134700,604,6D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,4700 BLOCK OF ALABAMA AVE SE,405200,134700,MARIJUANA_ARRESTS_2184,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14664,{086D09DC-B18E-4482-9C52-C18277ED49EF}
Possession with intent to distribute,Adult,2012,2012/07/20 20:30:00+00,b'\x1f\x02\x9f\x07F\xf3\xa8',37,3D,306,398300,140000,,,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,WARDER ST NW,398200,140500,MARIJUANA_ARRESTS_2185,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14665,{9EA79F60-B277-44D2-85D8-A08232620AD5}
Possession,Adult,2012,2012/07/20 20:45:00+00,b'\xfe\xb9.\xfb`\xb8Q',48,7D,706,400600,129600,,,U,U ,M,Narcotics,Ucsa Possession Marijuana,9TH ST SE,,,MARIJUANA_ARRESTS_2186,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14666,{01F8D034-8435-4060-A9F1-8A33A50C4B7D}
Possession,Adult,2012,2012/07/20 20:59:00+00,b'i7\xae\xe7\xc1\xc9\xdc',18,5D,502,399200,138900,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2000 BLOCK OF NORTH CAPITOL ST NE,399200,138900,MARIJUANA_ARRESTS_2187,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14667,{1A8F2606-D4B2-42C4-A6A7-E51F4F5D821E}
Possession,Adult,2012,2012/07/20 22:25:00+00,b'\xda\xa3\xe8\x98\xae\xbc\x00',56,4D,403,,,407,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4700 BLOCK OF 3RD ST NW,398600,142300,MARIJUANA_ARRESTS_2188,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14668,{20A6131E-A5BC-45EF-B01C-F39260A8B40A}
Possession with intent to distribute,Adult,2012,2012/07/20 22:37:00+00,b'U9tb\x93\xae\x01',34,7D,708,399000,129200,708,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4000 BLOCK OF MARTIN LUTHER KING JR AVE SW,399000,129200,MARIJUANA_ARRESTS_2189,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14669,{6E8986BC-0556-4461-B8B5-5273732AB14F}
Distribution,Adult,2012,2012/07/20 22:40:00+00,b'\xbam\x1e\xbe\xd5>\xb1',23,6D,604,406000,135100,604,6D,B ,N ,F,Narcotics,Ucsa Distributing Marijuana,5000 BLOCK OF D ST SE,406100,135100,MARIJUANA_ARRESTS_2190,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14670,{7EC4F66C-AA82-4420-AE6C-DE599DA309FE}
Possession with intent to distribute,Adult,2012,2012/07/20 22:45:00+00,b'\n\xbd\x8d\xaf\xed\xbd`',20,6D,604,406200,135100,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5000 BLOCK OF D ST SE,406200,135100,MARIJUANA_ARRESTS_2191,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14671,{597C9FC1-53C6-494F-ABCE-034B5488A156}
Possession with intent to distribute,Adult,2012,2012/07/20 22:45:00+00,b'\n\xbd\x8d\xaf\xed\xbd`',32,6D,604,406200,135100,604,6D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,5000 BLOCK OF D ST SE,406200,135100,MARIJUANA_ARRESTS_2192,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14672,{FBDFAF71-CDC7-4398-AC51-05EEFA16D81E}
Possession,Adult,2012,2012/07/21 00:05:00+00,b'\x0c\x02\xdc\xf3TI\x9d',20,4D,404,397200,141300,404,4D,U,H ,M,Narcotics,Ucsa Possession Marijuana,13TH ST NW / RANDOLPH ST NW,,,MARIJUANA_ARRESTS_2193,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14673,{EB082AA5-24A4-4800-98D4-8A21BD644962}
Possession,Adult,2012,2012/07/21 01:35:00+00,b'\x11X\xea\xfcb\x0bP',40,7D,701,401100,133400,108,1D,W ,U ,M,Narcotics,Ucsa Possession Marijuana,S ST NW,397300,138500,MARIJUANA_ARRESTS_2194,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14674,{381B8567-2C4B-4480-AD9D-90C298B2F0D5}
Possession,Adult,2012,2012/07/21 01:35:00+00,b'\x11X\xea\xfcb\x0bP',43,7D,701,401100,133400,308,3D,W ,N ,M,Narcotics,Ucsa Possession Marijuana,S STREET NW NORTH ALY,,,MARIJUANA_ARRESTS_2195,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14675,{DBFED9F2-8E7D-4E08-BCE5-86AE76D23C98}
Possession,Adult,2012,2012/07/21 02:55:00+00,b'+\\}6\xef\xdc<',47,7D,705,401000,130700,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3200 BLOCK OF 13TH ST SE,401000,130700,MARIJUANA_ARRESTS_2196,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14676,{3DE57A1F-DC5A-4101-BE53-40CC700C2A4B}
Possession,Adult,2012,2012/07/21 03:37:00+00,b'\x88\x1c\x19\xf4\x06\xfa\t',19,7D,703,400100,132300,708,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF STEVENS RD SE,400100,132300,MARIJUANA_ARRESTS_2197,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14677,{94B8D0F3-1F5A-4354-B091-0FE30BD32044}
Possession,Juvenile,2012,2012/07/20 04:00:00+00,,,Unk,,,,604,6D,,,,Narcotics,Ucsa Possession Marijuana,,,,MARIJUANA_ARRESTS_2198,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14678,{14751EBE-7CBA-44A3-8D95-6555E462FCF7}
Possession,Adult,2012,2012/07/21 20:50:00+00,b'\xe5+\xa5\x9e\xea!U',20,3D,305,397800,138800,704,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2000 BLOCK OF 10TH ST NW,397800,138900,MARIJUANA_ARRESTS_2199,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14679,{B3760D5A-DAEA-45B8-AC97-42C51213DA34}
Possession,Adult,2012,2012/07/22 00:01:00+00,b'SA+\x12Lhx',21,5D,501,398800,138300,404,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,R ST NW,397300,138300,MARIJUANA_ARRESTS_2200,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14680,{BD0F9AED-5FAF-4754-92F5-2BD9B2C5D8F5}
Possession,Adult,2012,2012/07/22 01:00:00+00,b'\x04\xcd\xc6\xd7\xd2\t6',30,3D,302,397600,140300,409,4D,U,H ,M,Narcotics,Ucsa Possession Marijuana,3300 BLOCK OF LAMONT ST NW,,,MARIJUANA_ARRESTS_2201,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14681,{840B209E-4C39-4481-87F0-67F61790A21C}
Possession,Adult,2012,2012/07/22 01:01:00+00,b'\xd7\xca$\xf8\xd1g\x90',60,3D,304,398000,139700,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,GEORGIA AVE NW,397900,140500,MARIJUANA_ARRESTS_2202,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14682,{071929DD-410D-4E58-8E40-8D3C41E3D9CE}
Possession,Adult,2012,2012/07/22 02:21:00+00,b'\xf1\xabs\xc7\xca\xf8.',27,5D,506,400400,137400,507,5D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,8TH ST NE / FLORIDA AVE NE,400400,137400,MARIJUANA_ARRESTS_2203,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14683,{4E38B7AE-19DB-4B3D-8657-00649B1C8285}
Possession,Adult,2012,2012/07/22 03:45:00+00,b'\xf0g\xcf\xdfB\x81\xba',29,7D,702,402500,131700,603,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF IRVING PL SE,,,MARIJUANA_ARRESTS_2204,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14684,{CC092BD9-4661-42D1-B3DE-E8362244014C}
Possession,Adult,2012,2012/07/22 21:28:00+00,b'\x99\x12\xda\xd3\xedP\xe0',18,7D,703,400100,132500,703,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1200 BLOCK OF EATON RD SE,400100,132500,MARIJUANA_ARRESTS_2205,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14685,{70E5F3D3-3AC5-473B-ADEB-22C9CF2A62AD}
Possession,Adult,2012,2012/07/23 00:45:00+00,b'\x89\x15\xa3~\x0eu6',43,3D,302,398000,140000,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,700 BLOCK OF HOBART PL NW,,,MARIJUANA_ARRESTS_2206,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14686,{E674FC77-A830-43DB-883A-A74D75F07F0E}
Possession,Adult,2012,2012/07/23 13:17:00+00,b'Y\x1e\xc5!*PJ',23,6D,608,406700,137300,,,B ,U ,M,Narcotics,Ucsa Poss Marijuana,900 BLOCK OF EASTERN AVE NE,406700,137300,MARIJUANA_ARRESTS_2207,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14687,{35BAA05F-FA25-4BDF-B2AD-F63A5DEDD7A4}
Possession,Adult,2012,2012/07/23 19:59:00+00,"b'\xd9\x03\xbe?<\xe6,'",32,4D,407,398800,142600,407,4D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,5000 BLOCK OF 2ND ST NW,398800,142600,MARIJUANA_ARRESTS_2208,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14688,{AB524FAB-2D57-4637-8BF1-C694774ECF66}
Possession,Adult,2012,2012/07/23 20:25:00+00,"b'\xe6\xde\xb3\\\xbe,\xdd'",25,5D,507,402500,136800,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2500 BLOCK OF BENNING RD NE,402500,136800,MARIJUANA_ARRESTS_2209,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14689,{7918D1C6-AFBA-4CF1-9E75-244723CF5A96}
Possession,Adult,2012,2012/07/24 00:20:00+00,b'\x13\x07\xeb\xc3\x8f\xcbX',43,3D,303,396600,139600,303,3D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1700 BLOCK OF COLUMBIA RD NW,396600,139600,MARIJUANA_ARRESTS_2210,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14690,{84C39B22-C58E-4D23-958C-3EABF34909CD}
Possession,Adult,2012,2012/07/24 01:22:00+00,b'\xec\x99\x8f\x84{0\xbc',20,1D,103,399000,137400,708,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1100 BLOCK OF SURSUM CORDA CT NW,399000,137400,MARIJUANA_ARRESTS_2211,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14691,{555CC890-E5AE-4092-8A9E-E7CE5F1883D1}
Possession,Adult,2012,2012/07/24 19:29:00+00,b'(y\x19Q\xa2E\xf3',37,4D,407,398900,142700,705,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,5000 BLOCK OF NEW HAMPSHIRE AVE NW,398900,142700,MARIJUANA_ARRESTS_2212,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14692,{9C0FA69E-D6BB-4214-941B-FBB89A8F19D4}
Possession,Adult,2012,2012/07/24 20:19:00+00,b'\x9d\xaa\x8e\xa0\xb0\xe42',29,6D,607,402800,132300,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2600 BLOCK OF ALABAMA AVE SE,402800,132300,MARIJUANA_ARRESTS_2213,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14693,{403F7A1C-2248-466D-995B-83604A0C0A1D}
Possession,Adult,2012,2012/07/24 21:30:00+00,b'\xe5S\x7f\x06\xb2D\x8a',26,6D,607,402100,133900,,,B ,N ,M,Narcotics,Ucsa Possession Marijuana,YOUNG ST SE,,,MARIJUANA_ARRESTS_2214,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14694,{1110E1DC-5C3F-4B0B-954D-12F4BBB0C207}
Possession,Adult,2012,2012/07/24 22:55:00+00,b'\x98\xe1\t8%\x9a\xf8',27,6D,604,405900,134800,507,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4900 BLOCK OF G ST SE,405900,134800,MARIJUANA_ARRESTS_2215,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14695,{E9EC4237-516A-4D64-A806-6D828AD6F909}
Possession,Adult,2012,2012/07/24 23:00:00+00,b'q\x13\xb3}\xcb\x8c\xcc',18,6D,604,406200,134800,603,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,5100 BLOCK OF F ST SE,406200,134800,MARIJUANA_ARRESTS_2216,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14696,{01AD3D84-ABE1-4A91-8939-1A68AA9D64C8}
Possession,Adult,2012,2012/07/24 23:23:00+00,b'\xde\xa9(A\xc8\x15\xbe',47,3D,304,398000,139400,505,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2500 BLOCK OF GEORGIA AVE NW,398000,139400,MARIJUANA_ARRESTS_2217,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14697,{2C92B4AD-18E4-4C22-A31C-F6E7547820AF}
Distribution,Adult,2012,2012/07/25 00:11:00+00,b't\xfcXx\xd1\xfaN',32,4D,407,398100,142000,,,B ,N ,F,Narcotics,Ucsa Distributing Marijuana,KANSAS AVE NW,397500,141100,MARIJUANA_ARRESTS_2218,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14698,{AF51D5D5-D3B6-42E5-87DD-EA30C5A7D2ED}
Possession,Adult,2012,2012/07/25 00:15:00+00,b'h\xee\xd5\xfc\x0e\xe6\xad',23,6D,604,406000,134500,702,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,BENNING RD SE,405900,134500,MARIJUANA_ARRESTS_2219,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14699,{83632EAB-BF0A-4F6A-BB0D-6A7F019F607C}
Distribution,Adult,2012,2012/07/25 00:15:00+00,b't\xfcXx\xd1\xfaN',56,4D,407,398100,142000,308,3D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,4500 BLOCK OF 7TH ST NW,398100,142000,MARIJUANA_ARRESTS_2220,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14700,{598BA3B2-9E44-428E-B9F2-9C36F208249F}
Possession with intent to distribute,Adult,2012,2012/07/25 02:33:00+00,b'Be\xc51|b_',20,7D,704,401500,131000,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3200 BLOCK OF 15TH PL SE,401500,131000,MARIJUANA_ARRESTS_2221,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14701,{B1694D8C-66BD-42AB-AC99-E1A37F68D350}
